AE1:1
C10:1
C11:1
C13:1
C14:1
C15:1
C16:1
C17:1
C3:1
C5:1
C8:1
C9:1
L1:1
L2:1
R1:1
R2:1
TP2:1
TP4:1
TP5:1
TP6:1
TP7:1
TP8:1
U2:1
USB1:1
Y2:1
